user_id,event_type,event_time
1000,view,2024-05-01 00:34:01
1000,click,2024-05-01 00:34:18
1000,click,2024-05-01 00:35:41
1000,click,2024-05-01 00:36:42
1000,view,2024-05-01 00:40:01
1000,click,2024-05-01 00:41:38
1000,view,2024-05-01 00:42:48
1000,view,2024-05-01 01:05:53
1000,click,2024-05-01 01:07:01
1000,view,2024-05-01 01:07:18
1000,view,2024-05-01 01:10:48
1000,click,2024-05-01 01:12:46
1000,view,2024-05-01 06:25:50
1000,click,2024-05-01 06:27:55
1000,view,2024-05-01 06:33:41
1000,purchase,2024-05-02 03:05:12
1000,click,2024-05-02 03:07:57
1000,view,2024-05-02 03:08:30
1000,view,2024-05-02 03:12:32
1000,view,2024-05-03 16:33:26
1000,view,2024-05-03 16:34:00
1000,view,2024-05-03 16:36:27
1000,view,2024-05-03 16:38:00
1000,view,2024-05-03 16:38:39
1000,view,2024-05-03 16:41:09
1000,click,2024-05-03 20:27:14
1000,view,2024-05-03 20:27:41
1000,view,2024-05-03 20:29:59
1000,view,2024-05-03 20:30:02
1000,click,2024-05-03 20:32:24
1000,click,2024-05-03 20:32:31
1000,click,2024-05-03 20:33:15
1000,purchase,2024-05-03 20:34:04
1000,click,2024-05-03 20:34:42
1000,view,2024-05-04 17:02:06
1000,purchase,2024-05-04 17:02:43
1000,view,2024-05-04 17:02:59
1000,view,2024-05-04 17:04:59
1000,view,2024-05-04 17:06:11
1000,click,2024-05-04 17:06:23
1000,view,2024-05-05 03:45:02
1000,purchase,2024-05-05 03:46:34
1000,view,2024-05-05 03:47:05
1000,click,2024-05-05 03:50:27
1000,purchase,2024-05-05 03:50:47
1000,view,2024-05-05 03:52:11
1000,view,2024-05-05 03:53:55
1000,click,2024-05-05 03:56:47
1000,view,2024-05-05 03:59:28
1000,view,2024-05-05 03:59:48
1000,view,2024-05-05 05:49:04
1000,click,2024-05-05 05:50:21
1000,purchase,2024-05-05 05:51:12
1000,view,2024-05-05 05:54:18
1000,view,2024-05-05 05:54:59
1000,click,2024-05-05 05:55:08
1000,view,2024-05-05 05:55:38
1000,purchase,2024-05-05 05:55:56
1000,view,2024-05-05 16:00:45
1000,view,2024-05-05 16:03:36
1000,view,2024-05-05 16:06:21
1000,view,2024-05-05 16:07:26
1000,view,2024-05-06 02:07:18
1000,view,2024-05-06 02:07:59
1000,purchase,2024-05-06 02:09:03
1000,view,2024-05-06 02:09:24
1000,view,2024-05-06 02:11:37
1000,view,2024-05-06 02:12:21
1000,view,2024-05-06 02:14:16
1000,click,2024-05-06 02:14:40
1000,view,2024-05-07 09:31:57
1000,view,2024-05-07 09:32:37
1000,click,2024-05-07 09:33:04
1000,view,2024-05-07 09:33:33
1000,click,2024-05-07 09:34:51
1000,click,2024-05-07 09:37:29
1000,click,2024-05-07 09:40:38
1000,view,2024-05-07 22:40:02
1000,view,2024-05-07 22:45:58
1000,view,2024-05-07 22:47:39
1000,view,2024-05-07 22:48:39
1001,view,2024-05-01 00:15:13
1001,click,2024-05-01 00:15:46
1001,view,2024-05-01 00:16:16
1001,view,2024-05-01 00:17:07
1001,purchase,2024-05-01 00:17:49
1001,view,2024-05-01 00:18:21
1001,view,2024-05-01 00:23:25
1001,view,2024-05-01 00:23:32
1001,view,2024-05-01 00:24:59
1001,view,2024-05-01 16:36:36
1001,view,2024-05-01 16:37:50
1001,click,2024-05-01 16:44:29
1001,click,2024-05-01 16:44:55
1001,view,2024-05-01 16:45:37
1001,view,2024-05-02 07:15:14
1001,click,2024-05-02 07:15:50
1001,view,2024-05-02 07:19:44
1001,purchase,2024-05-02 07:20:09
1001,click,2024-05-02 07:21:58
1001,purchase,2024-05-02 07:22:25
1001,view,2024-05-02 07:23:48
1001,view,2024-05-02 07:24:08
1001,view,2024-05-02 07:44:55
1001,view,2024-05-02 07:50:50
1001,view,2024-05-02 07:51:28
1001,click,2024-05-03 01:35:25
1001,view,2024-05-03 01:37:19
1001,view,2024-05-03 01:39:54
1001,view,2024-05-03 01:40:00
1001,click,2024-05-03 01:41:14
1001,purchase,2024-05-04 19:58:34
1001,view,2024-05-04 19:58:48
1001,click,2024-05-04 20:00:29
1001,view,2024-05-04 20:02:43
1001,view,2024-05-04 20:03:32
1001,click,2024-05-04 20:04:05
1001,click,2024-05-04 20:05:53
1001,click,2024-05-04 20:05:54
1001,view,2024-05-05 06:25:12
1001,click,2024-05-05 06:28:16
1001,click,2024-05-05 06:28:31
1001,view,2024-05-05 06:29:09
1001,view,2024-05-05 06:31:13
1001,click,2024-05-05 06:31:35
1001,purchase,2024-05-05 06:32:40
1001,click,2024-05-05 06:32:52
1001,view,2024-05-05 17:44:11
1001,view,2024-05-05 17:45:11
1001,view,2024-05-05 17:46:51
1001,view,2024-05-05 17:48:01
