user_id,total_orders,total_revenue
1,8,2323.0
2,5,1212.0
3,6,1856.0
4,4,1035.0
5,6,1727.0
6,4,882.0
7,3,873.0
8,9,2485.0
9,4,1255.8653495065766
10,2,243.0
11,2,382.0
12,8,2100.0
13,5,1144.0
14,5,1478.0
15,7,1122.0
16,3,815.0
17,5,798.0
18,3,892.0
19,4,1257.0
20,2,347.0
21,7,1485.0
22,4,1263.0
23,3,773.119420360985
24,5,1046.0
25,5,1075.0
26,4,651.0
27,6,1300.0
28,9,3120.0
29,5,1482.0
30,6,1850.0
32,3,570.0
33,7,2194.0
34,6,1507.0
35,4,1912.8353733814042
36,5,1766.0
37,4,1230.0
38,5,1495.0
39,8,2523.0
40,1,227.0
41,2,960.9547724909427
42,2,647.8958522743466
43,3,985.0
44,5,986.0
45,4,1093.0
46,5,1133.0
47,8,2563.0
48,8,2528.0
49,4,718.0
50,3,1052.603905655801
51,8,2051.0
52,6,1616.0
53,8,2115.0
54,9,2833.0
55,3,1346.0
56,5,1356.0
57,3,1030.0
58,9,3004.0
59,3,591.0
60,4,1042.622316895272
61,6,1227.0
62,6,997.0
63,5,1046.2519855354644
64,1,272.0
65,4,1244.9763435859993
66,2,851.157296125122
67,4,1438.0
68,3,860.0
69,7,1799.0
70,4,1008.0
71,3,974.0
72,3,1124.0
73,2,426.0
74,4,1280.0
75,6,1950.0
76,3,637.0
78,2,999.9737103730112
79,2,202.0
80,2,831.1941186040636
81,6,1248.0
82,5,1290.0
83,3,936.0
84,6,1816.0
85,4,933.0
86,9,2438.0
87,1,310.0
88,2,715.0447221179063
89,4,1458.0
90,10,3075.0
91,2,571.0
92,8,2213.0
93,7,1754.0
94,3,1051.0
95,6,2126.0
96,7,1823.001074536642
97,1,537.1909587484779
98,4,920.0
99,13,2531.0
100,4,1375.0
101,7,1726.0
102,2,840.0
103,6,1886.0
104,8,2739.0
105,4,1675.0
106,3,655.0
107,3,1020.0
108,4,1154.0
109,7,1229.0
110,2,493.0
111,9,2132.0
112,4,792.0
113,11,2715.0
114,3,872.0
115,7,1849.0
116,4,826.6570328038232
117,7,2048.0405302285717
118,7,1715.0
119,3,362.0
120,3,477.0
121,3,358.0
122,6,1957.0
123,4,1285.0
124,6,1640.0
125,1,134.0
126,6,1753.0
127,3,901.0652399277677
128,8,1717.0
129,8,2242.0
130,8,1972.0
131,6,1395.0
132,7,1628.0
133,5,1134.0
134,4,1035.0
135,5,1201.0
136,5,1564.0
137,5,1155.0
138,4,777.0
139,2,877.0
140,5,1896.0
141,5,1214.0
142,5,1584.0
143,3,1254.0
144,10,3015.0
145,10,2757.0
146,6,1869.0
147,10,3082.0
148,5,1281.0
149,3,597.0
150,2,622.0
151,9,1689.0
152,9,3153.0
153,5,1467.0
154,5,2016.0
155,5,1774.0
156,1,60.0
157,3,720.0
158,4,888.0
159,3,1299.0
160,9,2069.0
161,11,3731.0
162,4,1145.0
163,5,1197.0
164,7,2116.0
165,3,1147.0
166,5,1472.0
167,4,986.0
168,4,909.0
169,0,160.6128373285145
170,6,1746.0
171,2,581.0
172,5,1304.0
173,5,1819.0
174,2,545.0
175,4,1294.0
176,3,995.0
177,5,1397.0
178,5,1030.0
179,5,1731.0
180,5,2137.8748290733342
181,3,648.0
182,3,810.0
183,4,1683.0
184,4,1084.0
185,6,1653.0
186,6,1623.0
187,7,1925.0
188,6,1672.0
189,6,1300.0
190,13,3766.0
191,6,1691.4255863296667
192,8,2382.0
193,3,1002.0
194,4,1235.9021719855182
195,6,1858.0
196,2,695.0
197,5,1056.0
198,3,803.0
199,3,904.0
200,4,1588.887447244231
